Year,Process Technology,Plant Size,Plant Efficiency,Feedstock Input (TPA),Product Output (TPA),Direct GHG Emissions (TPA),Cost Mode,Real cumCash Flow,Nominal cumCash Flow,Constant$ Breakeven Price,Current$ Breakeven Price,Constant$ SC wCredit,Current$ SC wCredit,Project Finance,Carbon Valued,Feedstock Price ($/t),pri_directGDP,pri_bothGDP,All_directGDP,All_bothGDP,pri_directPAY,pri_bothPAY,All_directPAY,All_bothPAY,pri_directJOB,pri_bothJOB,All_directJOB,All_bothJOB,pri_directTAX,pri_bothTAX
2025,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,1976.8483419263182,2571.7305255191,1973.6495269006248,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,2016.3853087648447,2571.7305255191,2013.1225174386373,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,2056.7130149401414,2571.7305255191,2053.38496778741,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,Steam_Crackn,Large,High,631906.6147859921,487199.99999999994,510585599.9999999,Cash Cost,42956102.86546183,-189950545.0216018,2575.898687158205,2097.847275238945,2571.7305255191,2094.4526671431586,Mixed,No,712.9,14347188.096315872,22247140.80983912,14347188.096315872,22247140.80983912,4077676.5412366632,45880503.190967806,4077676.5412366632,45880503.190967806,684.0789632290862,1374.632743336289,684.0789632290862,1374.632743336289,39767362.12254689,51788077.242247485
2029,Steam_Crackn,Large,High,722178.9883268483,556800.0,583526400.0,Cash Cost,88756282.1357851,-386967764.65086234,2575.898687158205,2139.804220743723,2571.7305255191,2136.341720486021,Mixed,No,712.9,14347188.096315872,22247140.80983912,18936436.26906117,34418560.86573478,4077676.5412366632,45880503.190967806,45201779.87648846,162572789.4710868,684.0789632290862,1374.632743336289,979.1770873047241,2193.2519212488673,45370858.84501143,59085375.97167824
2030,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,142669534.61931682,-593103402.345471,2575.898687158205,2182.6003051585976,2571.7305255191,2179.0685548957417,Mixed,No,712.9,14347188.096315872,22247140.80983912,23641716.389513463,46897716.20250558,4077676.5412366632,45880503.190967806,87365641.71423987,282215457.3278386,684.0789632290862,1374.632743336289,1281.73630496526,3032.5686021223,53776103.92870824,70031324.06582437
2031,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,187603819.44260335,-779355301.2649075,2575.898687158205,2226.2523112617696,2571.7305255191,2222.649925993657,Mixed,No,712.9,14347188.096315872,22247140.80983912,28726644.604716703,60383758.9989864,4077676.5412366632,45880503.190967806,132931517.75821584,411511559.1438786,684.0789632290862,1374.632743336289,1608.7076782453685,3939.6060075071705,53776103.92870824,70031324.06582437
2032,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,224237430.4413979,-944467913.4447101,2575.898687158205,2270.7773574870052,2571.7305255191,2267.10292451353,Mixed,No,712.9,14347188.096315872,22247140.80983912,33427444.53322494,72851032.15025981,4077676.5412366632,45880503.190967806,175055232.74194375,531040307.72208065,684.0789632290862,1374.632743336289,1910.9788103222918,4778.123522393479,53776103.92870824,70031324.06582437
2033,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,253244579.9427278,-1087178227.346569,2575.898687158205,2316.1929046367454,2571.7305255191,2312.4449830038006,Mixed,No,712.9,14347188.096315872,22247140.80983912,37746427.59653625,84305665.9157758,4077676.5412366632,45880503.190967806,213757499.23815003,640860476.3187635,684.0789632290862,1374.632743336289,2188.698330366289,5548.533452652544,53776103.92870824,70031324.06582437
2034,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,275342990.0817745,-1206167945.639795,2575.898687158205,2362.5167627294804,2571.7305255191,2358.6938826638766,Mixed,No,712.9,14347188.096315872,22247140.80983912,41658953.517561704,94682310.3402794,4077676.5412366632,45880503.190967806,248817516.52674478,740345528.6997011,684.0789632290862,1374.632743336289,2440.2818177332947,6246.440524240601,53776103.92870824,70031324.06582437
2035,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,291294145.3395462,-1300062997.1439614,2575.898687158205,2409.76709798407,2571.7305255191,2405.867760317154,Mixed,No,712.9,14347188.096315872,22247140.80983912,45140239.00322375,103915236.167243,4077676.5412366632,45880503.190967806,280013202.3260239,828865292.1172209,684.0789632290862,1374.632743336289,2664.135655556162,6867.423952261856,53776103.92870824,70031324.06582437
2036,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,301905218.6844511,-1367431370.4572535,2575.898687158205,2457.962439943751,2571.7305255191,2453.9851155234974,Mixed,No,712.9,14347188.096315872,22247140.80983912,48164409.956690796,111935821.15414447,4077676.5412366632,45880503.190967806,307112699.69738746,905761857.6064856,684.0789632290862,1374.632743336289,2858.5960860362825,7406.868376840307,53776103.92870824,70031324.06582437
2037,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,308031014.618654,-1406780925.8754313,2575.898687158205,2507.1216887426262,2571.7305255191,2503.0648178339675,Mixed,No,712.9,14347188.096315872,22247140.80983912,50704491.90393651,118672524.68217154,4077676.5412366632,45880503.190967806,329874291.25804883,970349336.5585439,684.0789632290862,1374.632743336289,3021.928594851601,7859.962155432148,53776103.92870824,70031324.06582437
2038,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,310575987.8666744,-1416557126.7678587,2575.898687158205,2557.2641225174793,2571.7305255191,2553.126114190647,Mixed,No,712.9,14347188.096315872,22247140.80983912,52732367.15636967,124050774.14466563,4077676.5412366632,45880503.190967806,348046015.3167576,1021912771.4807702,684.0789632290862,1374.632743336289,3152.325156625347,8221.689721597531,53776103.92870824,70031324.06582437
2039,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,310496338.46243715,-1395140689.5563731,2575.898687158205,2608.4094049678283,2571.7305255191,2604.1886364744596,Mixed,No,712.9,14347188.096315872,22247140.80983912,54218731.54520886,127992850.19976468,4077676.5412366632,45880503.190967806,361365278.1719402,1059707035.8679236,684.0789632290862,1374.632743336289,3247.901452857087,8486.823867381196,53776103.92870824,70031324.06582437
2040,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,308802186.0500908,-1340845149.3817017,2575.898687158205,2660.5775930671853,2571.7305255191,2656.272409203949,Mixed,No,712.9,14347188.096315872,22247140.80983912,55133049.56150067,130417767.79455753,4077676.5412366632,45880503.190967806,369558452.1228653,1082955693.532992,684.0789632290862,1374.632743336289,3306.693987333355,8649.917741295565,53776103.92870824,70031324.06582437
2041,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,306559826.2437351,-1251914338.5103192,2575.898687158205,2713.789144928529,2571.7305255191,2709.397857388028,Mixed,No,712.9,14347188.096315872,22247140.80983912,55443507.88489169,131241152.91595547,4077676.5412366632,45880503.190967806,372340459.0424831,1090849816.9683602,684.0789632290862,1374.632743336289,3326.6570979318276,8705.296558893575,53776103.92870824,70031324.06582437
2042,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,304894071.9931531,-1126519774.4306278,2575.898687158205,2768.0649278271,2571.7305255191,2763.585814535789,Mixed,No,712.9,14347188.096315872,22247140.80983912,55116967.24341253,130375114.91514128,4077676.5412366632,45880503.190967806,369414338.99452,1082546763.2690904,684.0789632290862,1374.632743336289,3305.6598611061468,8647.049015631428,53776103.92870824,70031324.06582437
2043,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,304990683.005723,-962757954.4821992,2575.898687158205,2823.4262263836417,2571.7305255191,2818.8575308265044,Mixed,No,712.9,14347188.096315872,22247140.80983912,54118912.545902856,127728114.25078556,4077676.5412366632,45880503.190967806,360470803.3717627,1057168906.1340847,684.0789632290862,1374.632743336289,3241.4828852979726,8469.018391609105,53776103.92870824,70031324.06582437
2044,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,308098886.38138866,-758647553.7529774,2575.898687158205,2879.8947509113145,2571.7305255191,2875.2346814430343,Mixed,No,712.9,14347188.096315872,22247140.80983912,52413401.22664525,123204825.4907551,4077676.5412366632,45880503.190967806,345187772.01400656,1013802322.4085116,684.0789632290862,1374.632743336289,3131.8149893903924,8164.79333740898,53776103.92870824,70031324.06582437
2045,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,315533991.727962,-512126522.8667965,2575.898687158205,2937.492645929541,2571.7305255191,2932.7393750718957,Mixed,No,712.9,14347188.096315872,22247140.80983912,49963009.7396927,116705995.40651304,4077676.5412366632,45880503.190967806,323229893.74546725,951495431.5778985,684.0789632290862,1374.632743336289,2974.249762182807,7727.698329881176,53776103.92870824,70031324.06582437
2046,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,328680104.1382251,-221049082.16715384,2575.898687158205,2996.2424988481316,2571.7305255191,2991.3941625733332,Mixed,No,712.9,14347188.096315872,22247140.80983912,46728778.1382184,108128295.9886915,4077676.5412366632,45880503.190967806,294248049.7521401,869257586.5694689,684.0789632290862,1374.632743336289,2766.2819987288035,7150.783786339727,53776103.92870824,70031324.06582437
2047,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,348992938.52843475,116817391.31720304,2575.898687158205,3056.1673488250945,2571.7305255191,3051.2220458248,Mixed,No,712.9,14347188.096315872,22247140.80983912,42670152.67198607,97364172.20640357,4077676.5412366632,45880503.190967806,257878839.1996023,766057614.1595981,684.0789632290862,1374.632743336289,2505.3040092350884,6426.815825235838,53776103.92870824,70031324.06582437
2048,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,378002738.9600408,503795587.8638196,2575.898687158205,3117.2906958015965,2571.7305255191,3112.2464867412964,Mixed,No,712.9,14347188.096315872,22247140.80983912,37744926.33373314,84301684.32674356,4077676.5412366632,45880503.190967806,213744046.4710901,640822303.227615,684.0789632290862,1374.632743336289,2188.601796071288,5548.265660963046,53776103.92870824,70031324.06582437
2049,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,417317306.69284654,942301603.8729162,2575.898687158205,3179.6365097176285,2571.7305255191,3174.491416476122,Mixed,No,712.9,14347188.096315872,22247140.80983912,31909177.282873712,68824344.60460024,4077676.5412366632,45880503.190967806,161450089.38430694,492434839.035533,684.0789632290862,1374.632743336289,1813.3510942870296,4507.298620023769,53776103.92870824,70031324.06582437
2050,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,468625140.8486159,1434848399.5094824,2575.898687158205,3243.229239911981,2571.7305255191,3237.9812448056446,Mixed,No,712.9,14347188.096315872,22247140.80983912,25117205.0724613,50810948.14636348,4077676.5412366632,45880503.190967806,100587447.72331513,319733181.6505631,684.0789632290862,1374.632743336289,1376.6132708740954,3295.762765346541,53776103.92870824,70031324.06582437
2051,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,533698695.69941235,1984049379.3096716,2575.898687158205,3308.093824710221,2571.7305255191,3302.7408697017577,Mixed,No,712.9,14347188.096315872,22247140.80983912,17321464.602800388,30135397.744340282,4077676.5412366632,45880503.190967806,30730071.39900093,121508386.56239638,684.0789632290862,1374.632743336289,875.331077847411,1905.177115088263,53776103.92870824,70031324.06582437
2052,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,604024228.8346817,2582248570.132302,2575.898687158205,3374.2557012044253,2571.7305255191,3368.795687095793,Mixed,No,712.9,14347188.096315872,22247140.80983912,14347188.096315872,22247140.80983912,4077676.5412366632,45880503.190967806,4077676.5412366632,45880503.190967806,684.0789632290862,1374.632743336289,684.0789632290862,1374.632743336289,53776103.92870824,70031324.06582437
2053,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,674349761.9699512,3225068918.347659,2575.898687158205,3441.740815228514,2571.7305255191,3436.171600837709,Mixed,No,712.9,14347188.096315872,22247140.80983912,14347188.096315872,22247140.80983912,4077676.5412366632,45880503.190967806,4077676.5412366632,45880503.190967806,684.0789632290862,1374.632743336289,684.0789632290862,1374.632743336289,53776103.92870824,70031324.06582437
2054,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,744675295.1052206,3913402847.1035986,2575.898687158205,3510.575631533084,2571.7305255191,3504.895032854463,Mixed,No,712.9,14347188.096315872,22247140.80983912,14347188.096315872,22247140.80983912,4077676.5412366632,45880503.190967806,4077676.5412366632,45880503.190967806,684.0789632290862,1374.632743336289,684.0789632290862,1374.632743336289,53776103.92870824,70031324.06582437
